time,na,va_x,va_y,va_z,B_inst_x,B_inst_y,B_inst_z,Ta_perp,Trat
1610722799.860846,17.94704193179216,-435.8888456955599,86.38968587998464,46.63803760349999,37.6345,-7.22785,-73.4159,370.2701177639159,1.343953746993984
1610722925.690383,13.06992388117094,-442.7078393813700,97.98383089925366,48.25681018621420,50.6119,-22.3326,-84.1804,220.8933251028686,0.6755128666057587
1610723051.519941,12.88832180633716,-460.8605224554182,101.6880720053502,35.46935814432654,-42.9619,-1.62522,8.09963,243.6657901068567,0.7702297074627339
1610723177.349478,11.33801862094675,-474.4221996420503,106.5790907850847,29.62286971623190,-116.543,-1.31953,65.9697,241.0146597624300,0.7273157479043516
1610723303.179035,12.69334640686654,-469.2217301260039,104.3800107307606,28.85609654613100,-121.424,-3.66092,52.6137,236.6967375173039,0.6457856823035489
1610723429.008573,13.24428787036687,-462.4752788573118,106.6330144515135,33.73354528998882,-114.211,-16.5679,57.3803,265.9702008988347,0.7646706230691681
1610723554.838070,13.11368503085971,-464.6528412708801,108.0789343208222,36.98834686529504,-101.479,-44.2470,80.7028,237.8432411214536,0.8493973122025910
1610723680.667607,13.78941728537603,-462.1041895168033,96.48717129069796,33.58522414653873,-114.201,-25.9909,31.7368,313.9678525578827,0.8633167965014619
1610723806.497164,15.11532455008003,-462.5372769120598,91.41123628063644,50.82606147531611,-117.725,-53.6960,28.8358,301.1902223922818,1.188585327592345
1610723932.326702,17.20252811716993,-464.3403535665600,104.2456957726486,56.05621380859262,-98.7785,-7.12185,37.7917,327.9373643202084,0.8134376459435554
1610724058.156239,17.83943072487723,-461.9768929992228,108.1439724450626,53.33847404096687,-17.4532,48.9574,-37.7322,340.0243181684002,1.055501574487661
1610724183.985796,18.03550733723366,-461.9922005256028,104.4152501619598,49.16148902038712,-42.1229,-11.2074,-81.7992,282.8609176273345,0.8244602801699357
1610724309.815334,18.03946350436625,-453.2851670200819,108.8247794140324,39.95969238491639,-82.9921,-65.6740,-67.0687,306.4934187576578,0.9332692773237184
1610724435.644891,14.61660925196364,-459.7684445984340,100.7064227084190,47.66730852476228,-70.8644,-27.6025,-31.8042,309.8192913483482,1.228590328577003
1610724561.474368,12.86253012521701,-471.4878703703176,108.7422789284683,32.17769762754676,12.9076,110.182,13.1122,319.7143352625840,1.554780246613144
1610724687.303926,16.13819696242505,-463.6714444320366,110.7375652538511,40.34449175244043,-28.6716,37.2249,-21.7224,310.3900866912976,1.135910322033044
1610724813.133463,15.26778029641622,-455.4645325824884,103.2633281571976,34.44590072608793,-87.2858,-66.7082,-20.7550,290.1156100823961,1.312324483585137
1610724938.963000,16.07477620845237,-457.3991580501442,101.6824263913027,26.73045446469630,-81.2225,-73.7844,-13.9836,281.1389226125432,1.207438267872503
1610725064.792557,15.52720217471567,-464.0851245953983,103.8638148963277,32.44806935095890,-103.535,-45.3468,-32.6505,284.8892367021366,1.091703937173126
1610725190.622095,14.77817507605290,-486.5471921348793,102.0812187757094,36.91761255176590,-104.734,-0.176411,43.7280,324.5741306171445,0.9759296597035834
1610725316.451652,14.48809398967369,-485.8851945001225,107.3292172991217,22.10869110140565,-102.476,-6.93437,52.9293,300.1200746185054,0.7775700957138577
1610725442.281189,14.70035052625066,-473.3256902442856,92.17652241659856,22.98845266812296,-91.8615,54.8655,46.2360,268.3389683743794,0.5496063007333976
1610725568.110747,13.05613505394654,-495.9053731406613,96.70089655523529,26.65792993266079,-97.6437,44.9432,41.7181,322.7592964841147,0.8266295247846526
1610725693.940284,12.51204756034461,-502.7525853961423,100.8897052809905,34.41657471697707,-62.8081,92.3205,2.73199,296.6345077651963,0.7908512707124958
1610725819.769761,14.90890522738371,-496.0929320722355,100.9365380325625,41.70406582225051,-107.845,38.0363,-6.35172,312.5778116670060,0.9055624394200974
1610725945.599319,14.86247106587298,-494.5843487581024,106.5175566831633,39.29660937113562,-110.853,34.2999,-12.9743,296.6837229568283,0.8342000868303273
1610726071.428856,15.47965703030797,-475.8399868576374,99.58040099443552,37.53178844075587,-119.260,12.3277,3.99073,269.4357015042204,0.7448849391078914
